Timestamp,User,Location,Door Number,Reason
Tue Mar 07 2023 02:04:52 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Tue Mar 07 2023 02:06:08 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Tue Mar 07 2023 02:07:06 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Tue Mar 07 2023 21:09:51 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Tue Mar 07 2023 21:10:30 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Tue Mar 07 2023 21:10:47 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Tue Mar 07 2023 21:12:22 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Tue Mar 07 2023 22:01:26 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Tue Mar 07 2023 22:01:56 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Tue Mar 07 2023 22:02:14 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Tue Mar 07 2023 22:03:46 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Tue Mar 07 2023 23:06:16 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Tue Mar 07 2023 23:06:47 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Tue Mar 07 2023 23:07:06 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Tue Mar 07 2023 23:08:38 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Wed Mar 08 2023 00:06:02 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Wed Mar 08 2023 00:06:31 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Wed Mar 08 2023 00:06:49 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Wed Mar 08 2023 00:08:49 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Wed Mar 08 2023 01:17:27 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Wed Mar 08 2023 01:18:04 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Wed Mar 08 2023 01:18:24 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Wed Mar 08 2023 01:19:54 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Wed Mar 08 2023 02:07:33 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Wed Mar 08 2023 02:08:07 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Wed Mar 08 2023 02:08:27 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Wed Mar 08 2023 02:12:30 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Wed Mar 08 2023 03:04:48 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Wed Mar 08 2023 03:05:18 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Wed Mar 08 2023 03:05:36 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Wed Mar 08 2023 03:07:03 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Wed Mar 08 2023 04:07:55 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Wed Mar 08 2023 04:08:31 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Wed Mar 08 2023 04:08:50 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Wed Mar 08 2023 04:10:33 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Wed Mar 08 2023 21:14:44 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Wed Mar 08 2023 21:15:44 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Wed Mar 08 2023 21:16:04 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Wed Mar 08 2023 21:17:47 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Wed Mar 08 2023 22:06:13 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Wed Mar 08 2023 22:06:42 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Wed Mar 08 2023 22:06:58 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Wed Mar 08 2023 22:08:39 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Wed Mar 08 2023 23:03:46 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Wed Mar 08 2023 23:05:04 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Wed Mar 08 2023 23:05:36 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Wed Mar 08 2023 23:05:55 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Thu Mar 09 2023 00:13:06 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Thu Mar 09 2023 00:13:40 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Thu Mar 09 2023 00:13:59 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Thu Mar 09 2023 00:15:55 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Thu Mar 09 2023 01:00:08 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Thu Mar 09 2023 01:00:41 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Thu Mar 09 2023 01:01:00 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Thu Mar 09 2023 01:02:32 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Thu Mar 09 2023 03:09:30 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Thu Mar 09 2023 03:10:04 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Thu Mar 09 2023 03:10:23 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Thu Mar 09 2023 03:11:54 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Thu Mar 09 2023 04:13:42 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Thu Mar 09 2023 04:14:19 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Thu Mar 09 2023 04:14:43 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Thu Mar 09 2023 04:16:23 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Thu Mar 09 2023 21:18:43 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Thu Mar 09 2023 21:19:23 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Thu Mar 09 2023 21:19:44 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Thu Mar 09 2023 21:21:13 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Thu Mar 09 2023 22:03:06 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Thu Mar 09 2023 22:03:35 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Thu Mar 09 2023 22:05:26 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Thu Mar 09 2023 23:05:13 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Thu Mar 09 2023 23:05:43 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Thu Mar 09 2023 23:06:00 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Thu Mar 09 2023 23:07:45 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Fri Mar 10 2023 00:11:50 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Fri Mar 10 2023 00:12:19 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Fri Mar 10 2023 00:12:37 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Fri Mar 10 2023 00:17:07 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Fri Mar 10 2023 01:10:23 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Fri Mar 10 2023 01:10:51 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Fri Mar 10 2023 01:11:08 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Fri Mar 10 2023 01:12:51 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Fri Mar 10 2023 02:04:59 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Fri Mar 10 2023 02:05:26 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Fri Mar 10 2023 02:05:42 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Fri Mar 10 2023 02:07:06 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Fri Mar 10 2023 03:12:12 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Fri Mar 10 2023 03:12:40 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Fri Mar 10 2023 03:12:58 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Fri Mar 10 2023 03:14:26 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Fri Mar 10 2023 21:12:31 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Fri Mar 10 2023 21:13:02 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Fri Mar 10 2023 21:13:20 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Fri Mar 10 2023 21:14:48 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
Fri Mar 10 2023 22:06:08 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 18 Level 2 Pedestrian Doo',18,No access.
Fri Mar 10 2023 22:06:49 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 20 L1 Double Glass Door A',20,No access.
Fri Mar 10 2023 22:07:09 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 26 Lvl 1 Staff Entry',26,No access.
Fri Mar 10 2023 22:09:13 GMT+1100 (Australian Eastern Daylight Time),'Security Guard15 Security Guard15','Door 27 Lvl 2 Courtyard Behind',27,No access.
