Date Time,Guard First Name,Guard Last Name,Door Number,Door Name
Wed Mar 08 2023 09:08:55 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Wed Mar 08 2023 04:59:42 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Tue Mar 07 2023 09:04:57 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Mon Mar 06 2023 09:11:50 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Mon Mar 06 2023 04:57:33 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Sun Mar 05 2023 08:08:15 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Sun Mar 05 2023 05:01:46 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Sun Mar 05 2023 01:03:56 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Sat Mar 04 2023 08:10:52 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Sat Mar 04 2023 04:58:34 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Fri Mar 03 2023 08:59:53 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Fri Mar 03 2023 05:00:26 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Thu Mar 02 2023 09:03:15 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Thu Mar 02 2023 04:59:52 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Wed Mar 01 2023 09:08:34 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Wed Mar 01 2023 04:56:49 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
Tue Feb 28 2023 09:03:20 GMT+1100 (Australian Eastern Daylight Time),'Security,Guard15,'Door,41
